response,land_use,biome,Estimate,Q2.5,Q97.5
meancolcooney,Cropland,TemperateForest,-0.09129162522016666,-0.13445031675000002,-0.048330494250000015
meancolcooney,Pasture,TemperateForest,-0.00585228177585575,-0.06617307822499999,0.05393260899999993
meancolcooney,Plantationforest,TemperateForest,-0.10594313938783333,-0.14150287949999998,-0.070322371975
meancolcooney,Secondary,TemperateForest,-0.03929348373398517,-0.072046157475,-0.005535220400000046
meancolcooney,Cropland,TemperateOpen,0.08935661240719933,0.0154139853,0.16397773399999996
meancolcooney,Pasture,TemperateOpen,0.11898097838108333,0.04357390135,0.19415690375
meancolcooney,Plantationforest,TemperateOpen,-0.022287644696181167,-0.15143186125000002,0.1056507845
meancolcooney,Secondary,TemperateOpen,0.204639424139,0.12401641499999999,0.281862719
meancolcooney,Cropland,TropicalOpen,0.07716013676098334,0.03831087582499999,0.11487924099999998
meancolcooney,Pasture,TropicalOpen,0.028259322038286315,-0.0142933236,0.07069845670000001
meancolcooney,Plantationforest,TropicalOpen,0.17229742372333334,0.14155347799999998,0.203107624
meancolcooney,Secondary,TropicalOpen,0.010344332136377157,-0.0197493936,0.039731742449999996
dichrocooney,Cropland,TemperateForest,-0.10480952453566666,-0.12960430225000003,-0.07937159662500001
dichrocooney,Pasture,TemperateForest,-0.08047295766645,-0.1153573345,-0.045660400025000006
dichrocooney,Plantationforest,TemperateForest,-0.073546514389,-0.09456095825000001,-0.052536454875000034
dichrocooney,Secondary,TemperateForest,-9.910738194549734e-4,-0.01992460515,0.018655568399999996
dichrocooney,Cropland,TemperateOpen,-0.056063099079785,-0.10308560275,-0.011852841650000003
dichrocooney,Pasture,TemperateOpen,-0.0459561777365275,-0.092200585625,-2.593970345000523e-4
dichrocooney,Plantationforest,TemperateOpen,0.04975405243580717,-0.02961796375,0.12673655774999995
dichrocooney,Secondary,TemperateOpen,-0.018350408270702383,-0.065727929475,0.028558298
dichrocooney,Cropland,TropicalOpen,0.038758342398741666,0.0165167559,0.061916715849999984
dichrocooney,Pasture,TropicalOpen,-1.6636340530245e-4,-0.0254039695,0.025922685099999995
dichrocooney,Plantationforest,TropicalOpen,-0.007653422259604323,-0.0255125509,0.00990494907749999
dichrocooney,Secondary,TropicalOpen,0.0010866752043677333,-0.016755876100000004,0.018691926924999994
malecolcooney,Cropland,TemperateForest,-0.13861710605216668,-0.18658214199999998,-0.09184793200000006
malecolcooney,Pasture,TemperateForest,-0.046154092829661014,-0.112809415,0.01925474972499996
malecolcooney,Plantationforest,TemperateForest,-0.1397241783355,-0.179764956,-0.10109715525
malecolcooney,Secondary,TemperateForest,-0.0384433591328605,-0.0738086272,-0.0033020348600000045
malecolcooney,Cropland,TemperateOpen,0.0595751536093565,-0.027254053325000003,0.14294368975
malecolcooney,Pasture,TemperateOpen,0.08893662418964833,0.003773056225,0.17370312399999988
malecolcooney,Plantationforest,TemperateOpen,-0.0072912465855117,-0.15266117375000002,0.1361210192499999
malecolcooney,Secondary,TemperateOpen,0.19370417915916666,0.10444737824999999,0.28093430825
malecolcooney,Cropland,TropicalOpen,0.0954198967315,0.053313055725,0.13789708124999997
malecolcooney,Pasture,TropicalOpen,0.023291396930714508,-0.0239409191,0.07030476314999999
malecolcooney,Plantationforest,TropicalOpen,0.16693086133,0.13344750650000003,0.19946392474999997
malecolcooney,Secondary,TropicalOpen,0.0106524092100641,-0.0227519305,0.042958336299999976
dichrodiff,Cropland,TemperateForest,-11.163601209516667,-14.229680475,-8.198472835000006
dichrodiff,Pasture,TemperateForest,-10.072385830895,-14.3305196,-5.8454849825
dichrodiff,Plantationforest,TemperateForest,-12.041375332533333,-14.583896225000002,-9.463836552500004
dichrodiff,Secondary,TemperateForest,-2.33030704722915,-4.68436653,0.017111159924999963
dichrodiff,Cropland,TemperateOpen,-3.1796040533339167,-8.59764316,2.2475503899999936
dichrodiff,Pasture,TemperateOpen,-2.5319551943082335,-8.061054775,2.9863907674999988
dichrodiff,Plantationforest,TemperateOpen,1.9169424301092333,-7.4621985,11.872587824999991
dichrodiff,Secondary,TemperateOpen,1.2657273913739366,-4.47265705,6.924501314999987
dichrodiff,Cropland,TropicalOpen,7.58271379735,4.805977092499999,10.26107435
dichrodiff,Pasture,TropicalOpen,3.2045079996447665,0.08302768514999999,6.408084422499999
dichrodiff,Plantationforest,TropicalOpen,0.7511585698487,-1.3382301374999999,2.8305110674999994
dichrodiff,Secondary,TropicalOpen,1.1325753962439584,-0.9855341552500001,3.229536037499999
