response,land_use,habitat,Estimate,Q2.5,Q97.5
meancolcooney,Cropland,Forest,0.0011756741019157,-0.18747242925,0.19543664424999993
meancolcooney,Pasture,Forest,-0.04147307388091033,-0.40406980249999996,0.3188919972499999
meancolcooney,Plantationforest,Forest,-0.0036864632342317166,-0.16018209049999999,0.15337118774999997
meancolcooney,Secondary,Forest,-0.008546634115386666,-0.330516179,0.3287961677499997
meancolcooney,Cropland,Grassland,-2.0248695505500052e-5,-0.1951949975,0.19962498399999984
meancolcooney,Pasture,Grassland,0.10646538540868,-0.25688689175,0.46180054874999954
meancolcooney,Plantationforest,Grassland,-0.24574705854761666,-0.41729811749999995,-0.07864699410000002
meancolcooney,Secondary,Grassland,-0.0072734800701433336,-0.33134543825,0.33160005024999994
meancolcooney,Cropland,HumanModified,0.22147674128372832,0.016704501075,0.4280098074999999
meancolcooney,Pasture,HumanModified,0.327486739175255,-0.040940509625,0.6888955102499997
meancolcooney,Plantationforest,HumanModified,-0.029956912524066834,-0.20794549075,0.15101946799999993
meancolcooney,Secondary,HumanModified,0.1916607036733675,-0.1413775555,0.5390409195
meancolcooney,Cropland,Riverine,-0.22797823135917666,-0.58689848725,0.13367423774999967
meancolcooney,Pasture,Riverine,-0.501929142020365,-1.1161851225000001,0.11718858124999987
meancolcooney,Plantationforest,Riverine,0.039260146814980836,-0.241411884,0.31912136874999997
meancolcooney,Secondary,Riverine,0.09761490656988892,-0.27610217325,0.48409204274999956
meancolcooney,Cropland,Rock,-0.05287744003952917,-0.37737757475,0.2690624072499999
meancolcooney,Pasture,Rock,-0.004658330042348333,-1.0048070550000001,0.9897217994999987
meancolcooney,Plantationforest,Rock,0.0180917651177225,-0.296737679,0.3344139812499998
meancolcooney,Secondary,Rock,-0.14014585091495982,-0.5348154135,0.2682606729999999
meancolcooney,Cropland,Shrubland,-0.013361200315685667,-0.2049998325,0.18327911724999996
meancolcooney,Pasture,Shrubland,0.08100101778451034,-0.28148025925,0.44026073374999986
meancolcooney,Plantationforest,Shrubland,-0.029264637932548333,-0.18904554125,0.12772267275000002
meancolcooney,Secondary,Shrubland,0.027786309789720267,-0.29793598050000003,0.3683751384999999
meancolcooney,Cropland,Wetland,-0.15693541623882917,-0.376725127,0.06371096064999994
meancolcooney,Pasture,Wetland,-0.11072251737158534,-0.48541312000000003,0.26218993999999995
meancolcooney,Plantationforest,Wetland,-0.2360812888461,-0.46860490775,-0.0067277148275001405
meancolcooney,Secondary,Wetland,-0.2228074895003095,-0.55535628,0.13184888849999998
meancolcooney,Cropland,Woodland,-0.12480614484044673,-0.31454694275000006,0.07308320802499971
meancolcooney,Pasture,Woodland,-0.056117254191545,-0.41856027625000003,0.30235622799999956
meancolcooney,Plantationforest,Woodland,-0.051684588323729665,-0.20875576075000002,0.10443316749999994
meancolcooney,Secondary,Woodland,-0.0176285233537795,-0.34138363424999996,0.32373330849999987
dichrocooney,Cropland,Forest,-0.011880530437880833,-0.15373107275,0.13025428799999977
dichrocooney,Pasture,Forest,-0.10186560200521533,-0.454464445,0.24371593324999966
dichrocooney,Plantationforest,Forest,-0.011546318940848666,-0.1226589525,0.09884775819999994
dichrocooney,Secondary,Forest,-0.0521657921325665,-0.36694767024999997,0.26595765274999994
dichrocooney,Cropland,Grassland,0.19739330089881665,0.053429277275,0.34285505075000006
dichrocooney,Pasture,Grassland,0.12603079527516264,-0.23056679125000001,0.47232559399999996
dichrocooney,Plantationforest,Grassland,0.024561639939123667,-0.09650061785000001,0.14305624599999994
dichrocooney,Secondary,Grassland,0.10878085357620314,-0.20374126100000003,0.42590919675
dichrocooney,Cropland,HumanModified,0.06147605280029395,-0.0894116316,0.21136476924999978
dichrocooney,Pasture,HumanModified,-0.0234228997312241,-0.37594958425,0.3254366899999999
dichrocooney,Plantationforest,HumanModified,-0.030069749372110533,-0.15366553225000001,0.09584023439999988
dichrocooney,Secondary,HumanModified,-0.062391835068132666,-0.3818414555,0.26235005074999984
dichrocooney,Cropland,Riverine,-0.12863383547840335,-0.38497299125,0.1236606547499998
dichrocooney,Pasture,Riverine,0.0309858043318125,-0.449026408,0.5016630094999995
dichrocooney,Plantationforest,Riverine,0.34978133321216665,0.160105846,0.54285330225
dichrocooney,Secondary,Riverine,0.131364672422879,-0.20192331375,0.47375929049999976
dichrocooney,Cropland,Rock,-0.045890487485721165,-0.27357964975,0.17288526324999962
dichrocooney,Pasture,Rock,-0.0016127107007220002,-0.969154897,0.95774203075
dichrocooney,Plantationforest,Rock,0.021660013884512334,-0.19311686125000002,0.235478745
dichrocooney,Secondary,Rock,-0.03269894607080189,-0.37976215325,0.32201676275
dichrocooney,Cropland,Shrubland,0.013868900166308283,-0.12771285950000003,0.15865291950000002
dichrocooney,Pasture,Shrubland,-0.0766512399683195,-0.43477563750000003,0.27117391225
dichrocooney,Plantationforest,Shrubland,-0.041757793288707164,-0.153189894,0.06870089037499999
dichrocooney,Secondary,Shrubland,-0.020597048134564117,-0.33550590025,0.2989511404999993
dichrocooney,Cropland,Wetland,0.027136260847673666,-0.12999508925,0.18394817799999996
dichrocooney,Pasture,Wetland,-0.10025958026872417,-0.45965790025,0.2486819697499995
dichrocooney,Plantationforest,Wetland,-0.1617679176538104,-0.31364007250000003,-0.006575796400000176
dichrocooney,Secondary,Wetland,-0.06382493424702916,-0.382833478,0.2618732835
dichrocooney,Cropland,Woodland,0.14495680062084834,0.0038952098649999993,0.28921718550000003
dichrocooney,Pasture,Woodland,0.0733409972726853,-0.27659320825,0.42179639174999983
dichrocooney,Plantationforest,Woodland,-0.021840405696986833,-0.13527563725000002,0.08819222537499996
dichrocooney,Secondary,Woodland,-0.04139202655125578,-0.358084032,0.27417478624999975
malecolcooney,Cropland,Forest,-0.005528827426037733,-0.211208219,0.20996602299999984
malecolcooney,Pasture,Forest,-0.07989868710230516,-0.43836519025000004,0.27307439724999993
malecolcooney,Plantationforest,Forest,-0.018204566579969834,-0.18693737675000002,0.15381216174999995
malecolcooney,Secondary,Forest,-0.028191280810166832,-0.341446587,0.29119874474999985
malecolcooney,Cropland,Grassland,0.0853903389509305,-0.129654359,0.30443713374999976
malecolcooney,Pasture,Grassland,0.163581456434865,-0.19544905875000002,0.51542539875
malecolcooney,Plantationforest,Grassland,-0.24771595340003,-0.43032758649999997,-0.06366166327500013
malecolcooney,Secondary,Grassland,0.04265611521797733,-0.27143383175,0.3666139452499995
malecolcooney,Cropland,HumanModified,0.24668189386231085,0.0173688124,0.4746559824999998
malecolcooney,Pasture,HumanModified,0.31855322591124,-0.04869212400000002,0.67512065375
malecolcooney,Plantationforest,HumanModified,-0.058264023180185164,-0.25298939575,0.14048131899999985
malecolcooney,Secondary,HumanModified,0.1607125304848075,-0.1671297365,0.49952042974999994
malecolcooney,Cropland,Riverine,-0.28905117215550336,-0.68453271875,0.09593221417499974
malecolcooney,Pasture,Riverine,-0.42845831589154665,-1.0877836674999999,0.2335644864999997
malecolcooney,Plantationforest,Riverine,0.20965587156916166,-0.09563386095,0.5142179842499995
malecolcooney,Secondary,Riverine,0.1718335747719075,-0.21008905675,0.5563370974999999
malecolcooney,Cropland,Rock,-0.07675603504953167,-0.42667628125,0.2741660614999997
malecolcooney,Pasture,Rock,0.003253349866700333,-0.9557110742499999,0.9702298102499992
malecolcooney,Plantationforest,Rock,0.016232024824397,-0.333583234,0.3644406205
malecolcooney,Secondary,Rock,-0.14763054758415634,-0.5456202445,0.25832077649999996
malecolcooney,Cropland,Shrubland,-0.00594641573447525,-0.21072293875,0.2081213924999998
malecolcooney,Pasture,Shrubland,0.054017878987755,-0.298226479,0.40487062425
malecolcooney,Plantationforest,Shrubland,-0.05217375056423917,-0.220651011,0.12467068899999992
malecolcooney,Secondary,Shrubland,0.0252397191662185,-0.28690286225,0.34648503525
malecolcooney,Cropland,Wetland,-0.1538913294848175,-0.38563710674999996,0.08728049104999992
malecolcooney,Pasture,Wetland,-0.15413025365669866,-0.533490345,0.21499723224999973
malecolcooney,Plantationforest,Wetland,-0.3178857080588652,-0.5689976405,-0.0599126899
malecolcooney,Secondary,Wetland,-0.252649915143615,-0.588818104,0.08064100599999985
malecolcooney,Cropland,Woodland,-0.059659877234396,-0.26926794825,0.15535127099999987
malecolcooney,Pasture,Woodland,-0.020077847141902333,-0.37659391249999996,0.33454061849999994
malecolcooney,Plantationforest,Woodland,-0.06824908433816,-0.24029727625,0.10697976024999992
malecolcooney,Secondary,Woodland,-0.036278915135076834,-0.3525812885,0.2854320652499998
