model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell,sparse_trophic
meancolcooney,Intercept,4.625742804733333,0.06338686071762992,4.499219785,4.7489062,FALSE,FALSE
meancolcooney,Biome4TemperateForest,-0.15302142362283333,0.035547543313325936,-0.22124966050000003,-0.08209158952500009,FALSE,FALSE
meancolcooney,Biome4TemperateOpen,-0.1355708345446,0.052470633964322416,-0.23940929525000001,-0.03568353155000002,FALSE,FALSE
meancolcooney,Biome4TropicalOpen,-0.0326779620694443,0.022639261790562477,-0.0764944049,0.011417911249999994,FALSE,FALSE
meancolcooney,Predominant_simpleCropland,-0.22655015176992166,0.17451864050445182,-0.5675139305,0.12352374324999996,FALSE,FALSE
meancolcooney,Predominant_simplePasture,-0.111806639093792,0.12228396353051785,-0.35426120775000003,0.12516160774999996,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest,0.013248553284060667,0.12976195816405425,-0.2386824595,0.2714333022499999,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary,-0.0614883336631214,0.09525592056770285,-0.24823476225000002,0.12518005674999988,FALSE,FALSE
meancolcooney,Trophic.NicheFrugivore,0.13190560775403684,0.06215682191473788,0.008846288154999998,0.2535259237499998,FALSE,FALSE
meancolcooney,Trophic.NicheGranivore,0.010070653300394666,0.06320093776184244,-0.114885529,0.13313557849999985,FALSE,FALSE
meancolcooney,Trophic.NicheHerbivoreterrestrial,0.0552988436371995,0.3660950009764364,-0.6682512467499999,0.7689955814999997,FALSE,TRUE
meancolcooney,Trophic.NicheInvertivore,-0.06223560902482467,0.0615032515066415,-0.18499305125,0.05730683652499999,FALSE,FALSE
meancolcooney,Trophic.NicheNectarivore,0.10007727065671866,0.06527301882705308,-0.030141048725,0.22639218299999994,FALSE,FALSE
meancolcooney,Trophic.NicheOmnivore,0.006861456491818933,0.0616424346252104,-0.11687742474999999,0.12633646674999996,FALSE,FALSE
meancolcooney,z_logMass,-0.113501634135,0.003478853053792231,-0.1202899885,-0.10659597325,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simpleCropland,0.03511240030705674,0.021771044645650946,-0.0079989154175,0.07659911264999997,FALSE,FALSE
meancolcooney,Biome4TemperateOpen:Predominant_simpleCropland,0.0165672706874195,0.05718286211911277,-0.09887551247500001,0.12854179624999984,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simpleCropland,0.021360013196333783,0.02136029502083352,-0.019870215174999997,0.06254793927499995,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simplePasture,0.0489958818813225,0.02913275832899101,-0.0090473971575,0.10572749524999998,FALSE,FALSE
meancolcooney,Biome4TemperateOpen:Predominant_simplePasture,0.02282558649735575,0.056685437385293115,-0.09082075072500001,0.13361162799999998,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simplePasture,-0.012793381610788216,0.024590846360410375,-0.061067011850000005,0.035506554424999996,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simplePlantationforest,0.02433180879580827,0.020331399699936647,-0.015997917099999998,0.06366988554999994,FALSE,FALSE
meancolcooney,Biome4TemperateOpen:Predominant_simplePlantationforest,0.0031999553081399996,0.4979972985727377,-0.9560607900000001,0.9673834364999996,TRUE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simplePlantationforest,0.042556379245587,0.016093589998609936,0.010827413575000002,0.07367350479999998,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simpleSecondary,-0.0020346365376260767,0.016806248103827404,-0.034458820525,0.031444990075,FALSE,FALSE
meancolcooney,Biome4TemperateOpen:Predominant_simpleSecondary,0.0239058445339324,0.055544136498821395,-0.083556312675,0.13123071874999997,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simpleSecondary,-0.018255117143825283,0.01402912492877106,-0.045752831900000006,0.00955447818499999,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:z_logMass,0.018863167576742033,0.007259121605886601,0.0047673223074999995,0.033347818649999986,FALSE,FALSE
meancolcooney,Predominant_simplePasture:z_logMass,0.048507400240666666,0.007954073858805241,0.032637407825,0.063998137225,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:z_logMass,-0.0010769747946015734,0.005740883489722099,-0.012145461675,0.010382074099999998,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:z_logMass,-0.003748789536433533,0.0053792736510394614,-0.014249168949999998,0.0066622999324999965,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheFrugivore,0.28937867790963884,0.17524386306892828,-0.05859567695,0.6323350805,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheFrugivore,0.19622200388941882,0.12888928020995885,-0.053510340675000004,0.45494071174999995,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheFrugivore,-0.28467167563800033,0.13063337803924147,-0.54578137125,-0.030917731800000143,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheFrugivore,0.03174959116394577,0.09611900515970212,-0.15577361825,0.2191356812499999,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheGranivore,0.15206315441185622,0.17476080792825216,-0.1960973145,0.49646915499999994,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheGranivore,0.055034098915067366,0.12368446638654924,-0.1847396765,0.2985129349999998,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheGranivore,0.18202116809981,0.13128445690712875,-0.07934907585,0.43772808100000005,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheGranivore,0.09282833704528333,0.09764403905311567,-0.09755336482499999,0.28379557799999977,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheHerbivoreterrestrial,9.740057626641664e-4,0.5035750588247686,-0.9659436075,0.9672466447499999,FALSE,TRUE
meancolcooney,Predominant_simplePasture:Trophic.NicheHerbivoreterrestrial,0.003933895409435167,0.5070689189607306,-0.9854903335,0.9903614354999998,FALSE,TRUE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheHerbivoreterrestrial,-0.0022771883904061665,0.5162532054208288,-1.0268641425,1.0284673824999997,FALSE,TRUE
