response,parameter,Estimate,Est.Error,Q2.5,Q97.5
meancolcooney,prop_Primary_vegetation,4.6133650010625,0.17260463325597486,4.2854655925,4.9530664175000005
meancolcooney,prop_Pasture,4.5005764709375,0.17757003152817635,4.160757975,4.8439890475
meancolcooney,prop_Secondary,4.6033252656,0.17307307868103664,4.27675254,4.9448238175
meancolcooney,prop_Cropland,4.6438975137,0.17595394541616802,4.308677495,4.9858468049999995
meancolcooney,prop_Plantation_forest,4.567730041,0.17525759496548615,4.2348212425,4.9110817825
dichrocooney,prop_Primary_vegetation,0.05270810549821406,0.09228804863573226,-0.1294225815,0.23133462974999994
dichrocooney,prop_Pasture,0.12676815887036288,0.09757168381320107,-0.06712037964999999,0.31712334049999996
dichrocooney,prop_Secondary,0.04970249028000966,0.09272614818654377,-0.13254896300000002,0.22988312174999997
dichrocooney,prop_Cropland,0.05184641461330401,0.09734650779571977,-0.13773291875,0.24291355149999996
dichrocooney,prop_Plantation_forest,0.08280987786569922,0.09505026349933673,-0.10348443275,0.26830725699999997
malecolcooney,prop_Primary_vegetation,4.6063417599375,0.18714105473363074,4.2218505475,4.959654245
malecolcooney,prop_Pasture,4.52103941905,0.19056568823030634,4.137923155,4.879866905
malecolcooney,prop_Secondary,4.5943399262125,0.18730195543970804,4.213047825,4.950069924999999
malecolcooney,prop_Cropland,4.62866473265,0.1913790863689726,4.239498825,4.989704395
malecolcooney,prop_Plantation_forest,4.56760290275,0.18940525046352993,4.184353205000001,4.9235257075
dichrodiff,prop_Primary_vegetation,6.511106702013264,11.894841071733774,-16.751916474999998,29.781722049999978
dichrodiff,prop_Pasture,13.26588281686763,12.543874274094131,-11.304182375,37.75084712499999
dichrodiff,prop_Secondary,6.699340754462474,11.94776535100314,-16.562592999999996,30.073895625000002
dichrodiff,prop_Cropland,7.262730232860925,12.345993468477694,-16.654826375,31.213324249999992
dichrodiff,prop_Plantation_forest,10.63348305826573,12.191032355076679,-12.919512225,34.41202147499999
