parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell
Intercept,-3.4568672844,0.36770348786269264,-4.19523081,-2.7486906175,FALSE
z_malecolcooney,0.007504330664670825,0.024456695327527204,-0.039819860449999994,0.0562030421,FALSE
Biome4TemperateForest,0.457929485618668,0.3022884920284688,-0.1531177805,1.0342596899999998,FALSE
Biome4TropicalOpen,-0.05071096680748,0.3416350611820584,-0.7237301522499999,0.6082448305000001,FALSE
Predominant_simpleCropland,-0.006360717699981,0.03959727879053803,-0.0834100207,0.07222803017500001,FALSE
Predominant_simplePasture,0.3521625821,0.08621233053396565,0.18732447075,0.52399020475,FALSE
Predominant_simplePlantationforest,-0.025927382839456576,0.03258024187320201,-0.08827297455000001,0.03765857447500003,FALSE
Predominant_simpleSecondary,-0.001665979503419775,0.03307770570622084,-0.067209237075,0.06285204735000001,FALSE
z_malecolcooney:Biome4TemperateForest,0.0061407372100031,0.045697386544167926,-0.080188613375,0.09806989380000003,FALSE
z_malecolcooney:Biome4TropicalOpen,-0.06410855465883775,0.04582159226616665,-0.15675823225,0.026054589950000012,FALSE
z_malecolcooney:Predominant_simpleCropland,-0.030456049213737776,0.020866340212367763,-0.0706844115,0.009080444387500016,FALSE
z_malecolcooney:Predominant_simplePasture,-0.020570922992242145,0.03871740434607595,-0.094082866975,0.056531066625000015,FALSE
z_malecolcooney:Predominant_simplePlantationforest,0.019617083648213376,0.016957355438203092,-0.014275125649999998,0.052619879800000005,FALSE
z_malecolcooney:Predominant_simpleSecondary,-0.008318637904505828,0.017331815960996966,-0.041786195449999994,0.025352084525000002,FALSE
Biome4TemperateForest:Predominant_simpleCropland,0.022678788272691,0.08583276829613944,-0.14516681374999998,0.1988265435,FALSE
Biome4TropicalOpen:Predominant_simpleCropland,0.1225073118632,0.09510865296433717,-0.06562915247500001,0.306864483,FALSE
Biome4TemperateForest:Predominant_simplePasture,-0.362192089297575,0.12399360121229473,-0.6099615935,-0.1250622215,FALSE
Biome4TropicalOpen:Predominant_simplePasture,0.206637054381685,0.1414176815005739,-0.068816270425,0.48032563875,FALSE
Biome4TemperateForest:Predominant_simplePlantationforest,0.1869286145441375,0.08449509515011003,0.0224062275,0.350910436,FALSE
Biome4TropicalOpen:Predominant_simplePlantationforest,0.0698847745620585,0.07312126125565795,-0.07379543429999999,0.20960093075000005,FALSE
Biome4TemperateForest:Predominant_simpleSecondary,0.239568142048,0.06107290474779669,0.12014227599999999,0.3587311275,FALSE
Biome4TropicalOpen:Predominant_simpleSecondary,0.09269958085324,0.058044482306803855,-0.022190066699999997,0.20355901625,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simpleCropland,0.086659250837839,0.06181471961595531,-0.034113401674999995,0.208640445,FALSE
z_malecolcooney:Biome4TropicalOpen:Predominant_simpleCropland,0.021136794118937,0.07650975456633127,-0.13083730125,0.17396512575000006,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simplePasture,0.019380885204217026,0.08841695861983491,-0.14730488649999998,0.1969379782500001,FALSE
z_malecolcooney:Biome4TropicalOpen:Predominant_simplePasture,0.0390509807988135,0.10701162124186746,-0.17046514825,0.25277975400000013,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simplePlantationforest,-0.06825504043397125,0.08084877165885232,-0.2291813325,0.08587142642500004,FALSE
z_malecolcooney:Biome4TropicalOpen:Predominant_simplePlantationforest,-0.07998690222517875,0.04703416736237004,-0.17261061125000002,0.012593951850000002,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simpleSecondary,-0.0296588456971876,0.04420227605312148,-0.11461171249999999,0.058681876175,FALSE
z_malecolcooney:Biome4TropicalOpen:Predominant_simpleSecondary,-0.023943362428222776,0.04281030028410229,-0.10699844025,0.06246534775000001,FALSE
