parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell
Intercept,0.0039332141677663,0.02382447596996451,-0.044842863425,0.05035790142499996,FALSE
z_malecolcooney,-0.0015175369737846288,0.0018534869424105213,-0.0051924188925,0.0021060281449999927,FALSE
Biome4TemperateForest,-0.015584715499269862,0.007448173155857368,-0.030476539674999997,-0.0010328411400000238,FALSE
Biome4TemperateOpen,-0.007903003093893288,0.007095044625526925,-0.021551205999999996,0.006326260257499997,FALSE
Biome4TropicalOpen,0.010235604821816492,0.008108186091615484,-0.005539942795,0.026379174199999994,FALSE
Predominant_simpleCropland,-0.003860394226575,9.341275434773291e-4,-0.0057198052074999995,-0.0019923395475000003,FALSE
Predominant_simplePasture,-0.0012112331326044937,0.0019505262848214836,-0.0050337625575,0.0026162382074999997,FALSE
Predominant_simplePlantationforest,-0.0015262956994119975,0.0010385528629614658,-0.0035632831275,5.224236394999986e-4,FALSE
z_malecolcooney:Biome4TemperateForest,0.007973257820372137,0.0034853610151595253,0.0010817862525,0.0146843733,FALSE
z_malecolcooney:Biome4TemperateOpen,-0.011314128922704185,0.008125400223129919,-0.027229593174999997,0.004837442244999996,FALSE
z_malecolcooney:Biome4TropicalOpen,0.009244063487863875,0.002557975264179872,0.004302905092500001,0.0143371069,FALSE
z_malecolcooney:Predominant_simpleCropland,7.203878512868737e-4,7.25666683819236e-4,-7.1233715975e-4,0.0021081071199999988,FALSE
z_malecolcooney:Predominant_simplePasture,8.296772482991225e-4,0.0016383742879735104,-0.0024230173374999997,0.004082811369999999,FALSE
z_malecolcooney:Predominant_simplePlantationforest,0.0014779542803988574,8.639908050022014e-4,-2.2388322799999998e-4,0.0031549976999999995,FALSE
Biome4TemperateForest:Predominant_simpleCropland,0.005045615435315925,0.0073098679152529605,-0.008991143212499999,0.019645901774999988,FALSE
Biome4TemperateOpen:Predominant_simpleCropland,-2.473701516282497e-4,0.20044312417395382,-0.39248359099999997,0.3953832772499998,TRUE
Biome4TropicalOpen:Predominant_simpleCropland,-0.006181206219048125,0.0027326486996328025,-0.0115950391,-8.434019025000046e-4,FALSE
Biome4TemperateForest:Predominant_simplePasture,0.0019788597922014615,0.007572407083218211,-0.012300121349999998,0.0169834718,FALSE
Biome4TemperateOpen:Predominant_simplePasture,-0.0645037000517491,0.0323492246517286,-0.1286402855,-0.002044107135000011,FALSE
Biome4TropicalOpen:Predominant_simplePasture,0.0018396471652045113,0.003225937090183155,-0.004466365757499999,0.0081162203225,FALSE
Biome4TemperateForest:Predominant_simplePlantationforest,0.0042680305538059125,0.007151643108870067,-0.00963771689,0.018467811874999993,FALSE
Biome4TemperateOpen:Predominant_simplePlantationforest,-0.00749665651493155,0.011536008793689817,-0.03018505015,0.014840715249999992,FALSE
Biome4TropicalOpen:Predominant_simplePlantationforest,0.0016932321675697463,0.0015845932903121788,-0.0013367172174999994,0.004788702399999999,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simpleCropland,0.0030980314373068524,0.002941948157772564,-0.0026403838925,0.008919142724999997,FALSE
z_malecolcooney:Biome4TemperateOpen:Predominant_simpleCropland,3.4960315416062495e-4,0.1996597301887618,-0.39450477075,0.3894474137499996,TRUE
z_malecolcooney:Biome4TropicalOpen:Predominant_simpleCropland,-0.0040571305550458235,0.0029045350104462855,-0.00981314096,0.001652580534999996,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simplePasture,0.00235992436964119,0.0036427420980444654,-0.0046865838375,0.009493338487499996,FALSE
z_malecolcooney:Biome4TemperateOpen:Predominant_simplePasture,-0.07623530670929625,0.04053640804476374,-0.15623483525,0.003725901174999998,FALSE
z_malecolcooney:Biome4TropicalOpen:Predominant_simplePasture,0.005779020191506766,0.0036955273425074665,-0.0014226889124999997,0.012987538499999991,FALSE
z_malecolcooney:Biome4TemperateForest:Predominant_simplePlantationforest,0.008442558558018,0.00414426141620643,2.7741151425000014e-4,0.016509317749999995,FALSE
z_malecolcooney:Biome4TemperateOpen:Predominant_simplePlantationforest,0.019240184222538,0.01205526138373205,-0.0046671856725,0.042909583200000004,FALSE
z_malecolcooney:Biome4TropicalOpen:Predominant_simplePlantationforest,-2.0757532091301124e-4,0.0016629696857812437,-0.0035025344875,0.003121765887499997,FALSE
