model,response,source_fit,biome,land_use,estimate,lo,hi,pd,credible,effect_size
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical closed,Secondary,0.0010640372,-0.045433242699999994,0.048163153974999984,0.51625,FALSE,0.018747442626151804
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical closed,Plantation,-4.6800624999999995e-4,-0.046782643719999996,0.04635629731174999,0.507875,FALSE,-0.008245877419093483
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical closed,Cropland,-0.002671516215,-0.04926617655499999,0.04410350918249999,0.546625,FALSE,-0.04706987402841435
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical closed,Pasture,-2.915252e-4,-0.0467485512625,0.047080779235299984,0.50525,FALSE,-0.0051364294040447366
A2d,Abundance change vs primary,fitted with colour diversity (z),Temperate closed,Secondary,-0.0124107888,-0.060585397975,0.036957702025,0.684875,FALSE,-0.21866768471373685
A2d,Abundance change vs primary,fitted with colour diversity (z),Temperate closed,Plantation,-0.01226965909,-0.06058904270700001,0.03703001834749999,0.6795,FALSE,-0.21618109764603805
A2d,Abundance change vs primary,fitted with colour diversity (z),Temperate closed,Cropland,-0.01276898005,-0.061212591244999996,0.03707078180749999,0.69,FALSE,-0.2249787139790338
A2d,Abundance change vs primary,fitted with colour diversity (z),Temperate closed,Pasture,-0.012812170915,-0.06157345722524999,0.036672334862499996,0.688,FALSE,-0.22573970077870714
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical open,Secondary,0.011298638829999999,-0.03687972353,0.06013508632,0.666,FALSE,0.19907253545180179
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical open,Plantation,0.0114529524155,-0.036696291693999995,0.060350020638999996,0.670625,FALSE,0.20179141134316822
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical open,Cropland,0.001816958399999999,-0.046429695019999995,0.05144892051249999,0.526,FALSE,0.03201328239097708
A2d,Abundance change vs primary,fitted with colour diversity (z),Tropical open,Pasture,0.009202198549999999,-0.0386566801075,0.058638558875924965,0.63675,FALSE,0.16213501684958223
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical closed,Secondary,0.00305373625,-0.0485500931,0.05017279797499996,0.54775,FALSE,0.05380427032276217
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical closed,Plantation,0.00170599805,-0.049537106407499996,0.04858357393999999,0.52675,FALSE,0.030058254131248283
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical closed,Cropland,-5.7672005e-4,-0.0518526593775,0.04597071407249995,0.5085,FALSE,-0.010161323352911344
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical closed,Pasture,0.001959300385,-0.049199007167,0.049283102137499986,0.5285,FALSE,0.034521228726951125
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Temperate closed,Secondary,-0.0140895483,-0.0667213599,0.035326822657499986,0.706875,FALSE,-0.24824601844996083
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Temperate closed,Plantation,-0.01472139472,-0.06729343795575,0.03416683666174998,0.717,FALSE,-0.2593786221855158
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Temperate closed,Cropland,-0.015031458269999999,-0.06800658533,0.03403950639749996,0.7185,FALSE,-0.26484168176095724
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Temperate closed,Pasture,-0.015187575734999997,-0.06791054718924999,0.03452925221499998,0.719375,FALSE,-0.26759234049547115
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical open,Secondary,0.01210611725,-0.04065897920599999,0.0606003587775,0.67375,FALSE,0.21329962765384672
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical open,Plantation,0.012475778335,-0.040434323347499995,0.06122678512799998,0.673375,FALSE,0.21981274578745946
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical open,Cropland,0.0028497679999999986,-0.050111952735,0.051703395034999995,0.544375,FALSE,0.050210520908332286
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Tropical open,Pasture,0.009536510545,-0.043601775430500006,0.058691567371249975,0.63725,FALSE,0.16802531367895704
