model,response,colour_predictor,slope_within,level,estimate,lo,hi,pd,credible,effect_size
A2c,Relative abundance,Male colourfulness (z),Biome,Tropical closed,0.0026997123800000192,-0.045327799417500474,0.04878306624299945,0.54875,FALSE,0.0024268022529439896
A2c,Relative abundance,Male colourfulness (z),Biome,Temperate closed,0.005878371711000429,-0.08729194495399975,0.09407327157250006,0.54975,FALSE,0.005284135383302556
A2c,Relative abundance,Male colourfulness (z),Biome,Tropical open,-0.09108402965100018,-0.17190436719399976,-0.012305146161149656,0.98825,TRUE,-0.08187647321314385
A2c,Relative abundance,Male colourfulness (z),Land use,Primary vegetation,-0.019703880750000142,-0.07304993134833318,0.03287431708333378,0.76475,FALSE,-0.017712043160627248
A2c,Relative abundance,Male colourfulness (z),Land use,Secondary,-0.032296737233332706,-0.08763747356666646,0.02389407943000009,0.872,FALSE,-0.02903190549527772
A2c,Relative abundance,Male colourfulness (z),Land use,Plantation,-0.011800401099999913,-0.06830353148249964,0.044207339302500245,0.65675,FALSE,-0.0106075151513445
A2c,Relative abundance,Male colourfulness (z),Land use,Cropland,-0.042181682983333316,-0.10399646822416654,0.019791295319166107,0.9095,FALSE,-0.037917595983658715
A2c,Relative abundance,Male colourfulness (z),Land use,Pasture,-0.03596644158333333,-0.11542765381500014,0.04631731922500006,0.8175,FALSE,-0.03233064459437383
A2c,Relative abundance,Sexual dichromatism (z),Biome,Tropical closed,-0.005334784410000104,-0.04626904626999998,0.03732158743450013,0.60575,FALSE,-0.0047954985579458775
A2c,Relative abundance,Sexual dichromatism (z),Biome,Temperate closed,0.013074942879000417,-0.06713377721115033,0.0958145716917497,0.6225,FALSE,0.011753215294687045
A2c,Relative abundance,Sexual dichromatism (z),Biome,Tropical open,-0.03667196319700006,-0.1150329963614997,0.04041010934000033,0.81675,FALSE,-0.03296484602050763
A2c,Relative abundance,Sexual dichromatism (z),Land use,Primary vegetation,-0.016658220699999747,-0.06193738694166689,0.027948534724999665,0.76425,FALSE,-0.014974264601030315
A2c,Relative abundance,Sexual dichromatism (z),Land use,Secondary,-0.00402608116666651,-0.052163776508333086,0.042390114082833774,0.56425,FALSE,-0.0036190902846478723
A2c,Relative abundance,Sexual dichromatism (z),Land use,Plantation,1.617091666665793e-4,-0.05132217968083364,0.048980333283333365,0.50275,FALSE,1.4536221446973067e-4
A2c,Relative abundance,Sexual dichromatism (z),Land use,Cropland,-0.01388782431166676,-0.07365215839333285,0.041814818065000786,0.6965,FALSE,-0.012483923686731017
A2c,Relative abundance,Sexual dichromatism (z),Land use,Pasture,-0.012047287383333346,-0.10064192508333275,0.07633746957500005,0.59825,FALSE,-0.010829444047568082
A2d,Abundance change vs primary,Male colourfulness (z),Biome,Tropical closed,-6.235377624999995e-4,-0.0041000034094375035,0.0027739291072499963,0.642625,FALSE,-0.010986212162232722
A2d,Abundance change vs primary,Male colourfulness (z),Biome,Temperate closed,0.009380594204999999,0.0030996918281875037,0.015562624574624997,0.997625,TRUE,0.1652781985981817
A2d,Abundance change vs primary,Male colourfulness (z),Biome,Tropical open,0.007892578641249998,0.002657913220124998,0.013245766302124989,0.99875,TRUE,0.13906061296468633
A2d,Abundance change vs primary,Male colourfulness (z),Land use,Secondary,0.0045248160333333344,8.87574083333335e-4,0.0082897606925,0.9925,TRUE,0.07972346171619772
A2d,Abundance change vs primary,Male colourfulness (z),Land use,Plantation,0.006308585659999999,0.0025924538283333323,0.010173023701666666,0.999,TRUE,0.11115198576987387
A2d,Abundance change vs primary,Male colourfulness (z),Land use,Cropland,0.005285822389999993,0.0015563929414166686,0.009135687470500002,0.997375,TRUE,0.09313175515720269
A2d,Abundance change vs primary,Male colourfulness (z),Land use,Pasture,0.006013620318333336,0.0017364642501666637,0.010319841439166665,0.99775,TRUE,0.10595494395629898
A2d,Abundance change vs primary,Sexual dichromatism (z),Biome,Tropical closed,0.0016101888187499995,-0.0011067666740624997,0.004337309359336246,0.874,FALSE,0.028370175870531013
A2d,Abundance change vs primary,Sexual dichromatism (z),Biome,Temperate closed,5.535645014999991e-4,-0.004613362347125001,0.005702303601999986,0.582875,FALSE,0.00975334201825441
A2d,Abundance change vs primary,Sexual dichromatism (z),Biome,Tropical open,0.012249658329950001,0.007688767643375004,0.016707367427362504,1,TRUE,0.2158287010366789
A2d,Abundance change vs primary,Sexual dichromatism (z),Land use,Secondary,0.004125342193333334,0.001275225551666665,0.007044504351666665,0.997,TRUE,0.07268506785548619
A2d,Abundance change vs primary,Sexual dichromatism (z),Land use,Plantation,0.004924222356666667,0.001926611077006835,0.007857959938166667,0.999625,TRUE,0.0867606659898961
A2d,Abundance change vs primary,Sexual dichromatism (z),Land use,Cropland,0.005398565196666666,0.002228089218316668,0.008367289059166666,0.99975,TRUE,0.09511818880773185
A2d,Abundance change vs primary,Sexual dichromatism (z),Land use,Pasture,0.004738683093333331,0.0013306393784999944,0.008257918559250002,0.99675,TRUE,0.08349161985669674
