model,response,source_fit,quantity,factor_compared,held_fixed,contrast,estimate,lo,hi,pd,credible,pct_change,effect_size
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Secondary - Primary vegetation,-0.03460150599999956,-0.054920159274999804,-0.01474196659999998,0.9998333333333334,TRUE,-3.4009719099654445,-0.0802442335716821
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Plantation - Primary vegetation,-0.0499957249999996,-0.06862725615000072,-0.031364764750000274,1,TRUE,-4.8766508984803725,-0.11594491391460261
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Cropland - Primary vegetation,-0.08061491099999918,-0.10643309324999958,-0.055768131525000125,1,TRUE,-7.745111352248591,-0.1869537628692919
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Primary vegetation,-0.08192368150000062,-0.13243204674999998,-0.03361012977499966,0.9996666666666667,TRUE,-7.865772852662345,-0.18998892803504638
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Plantation - Secondary,-0.015378417500000019,-0.03711225484999953,0.006863864824999406,0.9163333333333333,FALSE,-1.5260773469319866,-0.03566403513861104
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Cropland - Secondary,-0.04612268100000039,-0.0716246448750012,-0.01934887137500076,0.9998333333333334,TRUE,-4.507519612555266,-0.10696295089341669
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Secondary,-0.04725453849999983,-0.09957833442499983,0.002837070325001528,0.9688333333333333,FALSE,-4.615542347971379,-0.10958783772926182
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Cropland - Plantation,-0.030512737000000456,-0.05724813977499976,-0.003070216650000892,0.9866666666666667,TRUE,-3.005192224013453,-0.07076198344486435
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Plantation,-0.031814512000000406,-0.08366859692500093,0.01799773352499982,0.8895,FALSE,-3.1313754909754965,-0.07378092537062254
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Cropland,-0.0012095620000001084,-0.05578791102500118,0.05063767195000048,0.5195,FALSE,-0.12088307747346594,-0.0028050910745746407
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Secondary - Primary vegetation,-0.023271921999999723,-0.056202500675000794,0.010057757849999668,0.9191666666666667,FALSE,-2.3003219268946773,-0.053969834279177585
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Plantation - Primary vegetation,-0.01090798450000019,-0.0610667371925003,0.038077780549999385,0.6578333333333334,FALSE,-1.0848708161307785,-0.025296669341915767
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Cropland - Primary vegetation,-0.039380201999999365,-0.08964029232499934,0.00859074714999945,0.9441666666666667,FALSE,-3.861488089331544,-0.09132649103157568
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Pasture - Primary vegetation,-0.011297839499999629,-0.07045909783749886,0.04684503029999986,0.6521666666666667,FALSE,-1.1234258578924794,-0.02620078073172185
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Plantation - Secondary,0.012839168399999767,-0.04732888644000002,0.0711649891249997,0.6681666666666667,FALSE,1.2921944401586893,0.02977527128315613
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Cropland - Secondary,-0.015741231000000244,-0.0748708175274998,0.04215417115250159,0.696,FALSE,-1.5617985350120156,-0.03650543467876337
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Pasture - Secondary,0.01214488119999979,-0.05625395317500157,0.07854377036500029,0.6338333333333334,FALSE,1.2218929736271367,0.02816515222525651
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Cropland - Plantation,-0.028988915500000267,-0.09682638878250004,0.038146079324999436,0.7961666666666667,FALSE,-2.857276780791773,-0.06722809424456284
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Pasture - Plantation,-0.0010581564999991855,-0.07712312502500043,0.07329708679999976,0.5096666666666667,FALSE,-0.10575968498265365,-0.0024539671001987417
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Temperate closed,Pasture - Cropland,0.027565785000000176,-0.04153108660000045,0.09749990095000056,0.7808333333333334,FALSE,2.7949236523515664,0.06392771719609006
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Secondary - Primary vegetation,-0.045774365999999844,-0.07098209700000006,-0.019220626974999683,0.9991666666666666,TRUE,-4.4742523558431335,-0.10615517477475397
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Plantation - Primary vegetation,-0.014820527499999958,-0.045379725632325084,0.014528762749999966,0.8233333333333334,FALSE,-1.471124402799362,-0.034370234358167814
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Cropland - Primary vegetation,-0.08062326850000012,-0.13001945322499886,-0.03173148952499998,0.9995,TRUE,-7.745882369258661,-0.18697314471880308
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Pasture - Primary vegetation,0.010607680999999758,-0.07083866818500108,0.09321660719999936,0.601,FALSE,1.0664141911276293,0.024600236527794073
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Plantation - Secondary,0.03095778865000076,0.0011654540424998361,0.060371955342749625,0.9801666666666666,TRUE,3.14419644098356,0.07179410119586882
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Cropland - Secondary,-0.03530249865000057,-0.08499999221250233,0.015159650155000145,0.918,FALSE,-3.468663390266802,-0.0818699032156194
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Pasture - Secondary,0.0564728331000004,-0.02499586259750075,0.1404207428049995,0.9101666666666667,FALSE,5.809786917076143,0.13096595303485087
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Cropland - Plantation,-0.06655211895000024,-0.11916368975000072,-0.010517841700000276,0.9895,TRUE,-6.438584864160957,-0.15434079018740565
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Pasture - Plantation,0.025422603000000432,-0.06008874732500082,0.1112281133999983,0.7216666666666667,FALSE,2.5748513340410284,0.05895747119019059
A3b,Community male colourfulness,NA,Level mean,Land use,Biome = Tropical open,Pasture - Cropland,0.09110098949999967,-0.002120400943250367,0.1867233189250011,0.9728333333333333,FALSE,9.537962151311774,0.21127199145752287
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Primary vegetation,Temperate closed - Tropical closed,-0.13461643499999987,-0.23697075499999978,-0.041591037850000255,0.997,TRUE,-12.594889718861669,-0.31218851146904675
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Primary vegetation,Tropical open - Tropical closed,-0.11493118999999918,-0.2269866305000007,0.007416511437500662,0.9666666666666667,FALSE,-10.857251907852994,-0.266536527486157
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Primary vegetation,Tropical open - Temperate closed,0.023036322900000794,-0.11123194852499989,0.15605827820000018,0.6315,FALSE,2.330370823044081,0.05342345721658406
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Secondary,Temperate closed - Tropical closed,-0.12381779165000095,-0.22817361319999974,-0.026563303950000016,0.9923333333333333,TRUE,-11.645918526907517,-0.28714541481207995
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Secondary,Tropical open - Tropical closed,-0.1253476196000003,-0.24033902662500087,-0.0015784580155003686,0.9773333333333334,TRUE,-11.780981732166829,-0.2906932335499186
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Secondary,Tropical open - Temperate closed,9.463551499990785e-4,-0.1391904049124998,0.13641051884499986,0.5073333333333333,FALSE,0.09468030853247988,0.002194688973892965
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Plantation,Temperate closed - Tropical closed,-0.09613035099999934,-0.2008864203750013,0.012818753600000147,0.9613333333333334,FALSE,-9.165439540655706,-0.2229355664164395
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Plantation,Tropical open - Tropical closed,-0.07921278900000006,-0.1963483804224992,0.04346069200000006,0.8953333333333333,FALSE,-7.61566801680047,-0.18370210656092417
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Plantation,Tropical open - Temperate closed,0.018844745999999635,-0.12854967689999922,0.15597805092499986,0.6063333333333333,FALSE,1.9023428872175119,0.04370278564242296
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Cropland,Temperate closed - Tropical closed,-0.09384317250000018,-0.204861957165,0.012359544899999604,0.9561666666666667,FALSE,-8.957446919461198,-0.21763137862258844
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Cropland,Tropical open - Tropical closed,-0.11609113749999933,-0.24011195982500141,0.01592326957499987,0.9571666666666667,FALSE,-10.96059286901393,-0.2692265577444036
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Cropland,Tropical open - Temperate closed,-0.018465821299999963,-0.1706067966549995,0.12876954125000006,0.5983333333333334,FALSE,-1.829637262783812,-0.04282402267375757
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Pasture,Temperate closed - Tropical closed,-0.06516790299999986,-0.18653072402500062,0.05519020894999942,0.8545,FALSE,-6.308985985300907,-0.15113065973801193
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Pasture,Tropical open - Tropical closed,-0.021749124999999925,-0.1659633935749993,0.13107061431999983,0.6138333333333333,FALSE,-2.1514318142875077,-0.05043832099330378
A3b,Community male colourfulness,NA,Level mean,Biome,Land use = Pasture,Tropical open - Temperate closed,0.044360580500000246,-0.12229910662499772,0.2108006190450005,0.7001666666666667,FALSE,4.535922309003992,0.10287646968364532
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Secondary - Primary vegetation,-0.7007283900000001,-2.1879523224999993,0.7571706652500014,0.829,FALSE,NA,-0.02196979415639798
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Plantation - Primary vegetation,-1.1975523500000076,-2.6308849525000024,0.25995208400000414,0.9493333333333334,FALSE,NA,-0.03754661434655278
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Cropland - Primary vegetation,-2.6350252500000018,-4.524531404999999,-0.7915924387500016,0.9975,TRUE,NA,-0.08261540871693689
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Primary vegetation,0.4622262199999998,-3.335991799999999,4.152702597499997,0.5956666666666667,FALSE,NA,0.014492084311140756
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Plantation - Secondary,-0.4777892399999999,-2.1508615573150034,1.1179431369999964,0.7246666666666667,FALSE,NA,-0.01498002849997533
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Cropland - Secondary,-1.9356698750000003,-3.893987248750001,0.05642529225000196,0.9713333333333334,FALSE,NA,-0.060688662419529776
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Secondary,1.1812986700000003,-2.69179589625,5.049247250000002,0.7221666666666666,FALSE,NA,0.037037016035737766
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Cropland - Plantation,-1.455912200000002,-3.469982592500001,0.6449702627500034,0.9156666666666666,FALSE,NA,-0.04564691797885992
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Plantation,1.6525052749999993,-2.2943629480000003,5.4940368142499985,0.7935,FALSE,NA,0.05181066052441776
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Tropical closed,Pasture - Cropland,3.1025491200000026,-1.0055124075000033,7.166999599999993,0.9326666666666666,FALSE,NA,0.09727358916700055
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Temperate closed,Secondary - Primary vegetation,-3.8885355249999964,-6.3144028975000035,-1.408507493000006,0.9991666666666666,TRUE,NA,-0.12191646046207841
A3b,Community sexual dichromatism,NA,Level mean,Land use,Biome = Temperate closed,Plantation - Primary vegetation,-1.7676331400000045,-5.469641902999997,1.8496054650000073,0.8105,FALSE,NA,-0.05542024097215114
