model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell,sparse_trophic
meancoldale,Intercept,4.027119397033333,0.02674288073321221,3.97453912,4.080236705,FALSE,FALSE
meancoldale,Biome4TemperateForest,-0.020791983873666,0.01047540842174229,-0.041400994824999995,-4.8652876050001384e-4,FALSE,FALSE
meancoldale,Biome4TemperateOpen,-0.049438608382451,0.017092829246658867,-0.08287985325000001,-0.015451019525000022,FALSE,FALSE
meancoldale,Biome4TropicalOpen,-0.018102549191446334,0.00754478001001415,-0.0329595137,-0.0033943916450000122,FALSE,FALSE
meancoldale,Predominant_simpleCropland,-0.03970743488719867,0.10584027200050357,-0.24686774225,0.16620613249999996,FALSE,FALSE
meancoldale,Predominant_simplePasture,-0.021862328611447667,0.05539863596131797,-0.130223282,0.08868624427499994,FALSE,FALSE
meancoldale,Predominant_simplePlantationforest,0.04826288770397245,0.05732511522477062,-0.06410572337499999,0.16200587974999997,FALSE,FALSE
meancoldale,Predominant_simpleSecondary,-0.0084303068998275,0.04019148165538414,-0.08814230302500001,0.07038454220000001,FALSE,FALSE
meancoldale,Trophic.NicheFrugivore,-0.13634119234433334,0.026721249230527256,-0.1891417325,-0.08316398280000002,FALSE,FALSE
meancoldale,Trophic.NicheGranivore,-0.10310073658181666,0.02685420634488914,-0.15534282824999998,-0.050513265375000005,FALSE,FALSE
meancoldale,Trophic.NicheHerbivoreterrestrial,-0.036351977686485,0.35894414512124584,-0.73536632825,0.6702185232499998,FALSE,TRUE
meancoldale,Trophic.NicheInvertivore,-0.1340414934025,0.02645476127373256,-0.18586241425,-0.0820506068500002,FALSE,FALSE
meancoldale,Trophic.NicheNectarivore,-0.18602366502016668,0.027952102275866773,-0.2413363375,-0.13189167200000002,FALSE,FALSE
meancoldale,Trophic.NicheOmnivore,-0.14501243002183334,0.026503403224514985,-0.19764636400000002,-0.09288714920000005,FALSE,FALSE
meancoldale,z_logMass,0.028131918612666666,0.001231021114631602,0.025759696850000003,0.030575395999999998,FALSE,FALSE
meancoldale,Biome4TemperateForest:Predominant_simpleCropland,-0.023455035044838334,0.007891887510038758,-0.038952380225,-0.008033872092500028,FALSE,FALSE
meancoldale,Biome4TemperateOpen:Predominant_simpleCropland,0.009464648636140717,0.019586387617968548,-0.027839479525,0.04809932774999995,FALSE,FALSE
meancoldale,Biome4TropicalOpen:Predominant_simpleCropland,0.0161605702261953,0.007417517688060331,0.0016994508099999995,0.030474220474999997,FALSE,FALSE
meancoldale,Biome4TemperateForest:Predominant_simplePasture,-0.008652205690425923,0.01037731771126806,-0.029459760025,0.011247295599999997,FALSE,FALSE
meancoldale,Biome4TemperateOpen:Predominant_simplePasture,-4.045431819233833e-4,0.019370008583732015,-0.038561351325,0.03786513359999999,FALSE,FALSE
meancoldale,Biome4TropicalOpen:Predominant_simplePasture,-0.013749252957781568,0.008510667824579534,-0.0304324102,0.0030723951349999968,FALSE,FALSE
meancoldale,Biome4TemperateForest:Predominant_simplePlantationforest,0.003296382106763642,0.007142125823259281,-0.0103890199,0.017546790324999995,FALSE,FALSE
meancoldale,Biome4TemperateOpen:Predominant_simplePlantationforest,0.0016151891628333334,0.49684966080727794,-0.96988500875,0.9464441917499992,TRUE,FALSE
meancoldale,Biome4TropicalOpen:Predominant_simplePlantationforest,-0.0033692677011696853,0.005644249387929424,-0.01480648755,0.0074648524649999996,FALSE,FALSE
meancoldale,Biome4TemperateForest:Predominant_simpleSecondary,5.274997624827834e-4,0.005780272061130429,-0.010468153425,0.011899421199999996,FALSE,FALSE
meancoldale,Biome4TemperateOpen:Predominant_simpleSecondary,0.02220471010371,0.018805198706724847,-0.015095822975,0.059111052349999985,FALSE,FALSE
meancoldale,Biome4TropicalOpen:Predominant_simpleSecondary,-0.0017512295854990644,0.004955096535456049,-0.0114461161,0.008058471897499994,FALSE,FALSE
meancoldale,Predominant_simpleCropland:z_logMass,0.003865744625802133,0.0025471199924184756,-0.0010962600425,0.008895213314999999,FALSE,FALSE
meancoldale,Predominant_simplePasture:z_logMass,0.012164925734756667,0.002736783466965999,0.00697220575,0.01754494475,FALSE,FALSE
