response,parameter,Estimate,Est.Error,Q2.5,Q97.5
meancoldale,prop_Primary_vegetation,3.8921295794125,0.051103907117040395,3.7912495725,3.9928570725
meancoldale,prop_Pasture,3.8989202472125,0.05280630538912493,3.7942228425,4.00190289
meancoldale,prop_Secondary,3.8916869948125,0.051232033030344654,3.7899436825,3.9932183025
meancoldale,prop_Cropland,3.876239677525,0.05257122879899301,3.7709680225,3.980580735
meancoldale,prop_Plantation_forest,3.8850824887875,0.05205385382774593,3.782456945,3.98770185
dichrodale,prop_Primary_vegetation,0.054696354083460914,0.06130223298540903,-0.06697583889999999,0.17221302599999996
dichrodale,prop_Pasture,0.09229657308730928,0.06288986940145677,-0.032972881375,0.21403484224999997
dichrodale,prop_Secondary,0.05374427152636772,0.06134967264753846,-0.06880987295,0.17084934949999997
dichrodale,prop_Cropland,0.06246260863155977,0.06276198595320763,-0.06573341170000001,0.182880308
dichrodale,prop_Plantation_forest,0.05370286966700149,0.06192058267621378,-0.070915764725,0.17081413874999993
malecoldale,prop_Primary_vegetation,3.911013738675,0.06633183912921475,3.77683298,4.0363427275
malecoldale,prop_Pasture,3.9353044675125,0.06798742324642741,3.7995485625,4.0643914525
malecoldale,prop_Secondary,3.9093217187625,0.06670309465092186,3.7750834975,4.0355911325
malecoldale,prop_Cropland,3.899518698075,0.06811758185754402,3.7629744725,4.02752528
malecoldale,prop_Plantation_forest,3.9038230721125,0.06760202004765607,3.7664243975000002,4.032180309999999
dichrodiffdale,prop_Primary_vegetation,2.6635290508477127,3.1278220961957652,-3.6038791349999997,8.816243459999997
dichrodiffdale,prop_Pasture,4.536574062751875,3.203717475577875,-1.6735924824999995,10.941658124999993
dichrodiffdale,prop_Secondary,2.6357434135681097,3.1440603886083527,-3.5285102875,8.850231647499992
dichrodiffdale,prop_Cropland,3.0260182166289797,3.20573195438577,-3.298056375,9.355724837499999
dichrodiffdale,prop_Plantation_forest,2.573041268895529,3.1704894125447116,-3.6729284124999997,8.80477762
