response,contrast,Estimate,Q2.5,Q97.5,prob_positive,credible
meancoldale,Cropland - Primary vegetation,-0.05253465000000013,-0.09968606499999982,-0.004214245000000066,0.016125,TRUE
meancoldale,Pasture - Primary vegetation,0.01985999999999999,-0.01889390500000007,0.05739462750000002,0.844,FALSE
meancoldale,Plantation_forest - Primary vegetation,0.012187500000000018,-0.022491305000000163,0.04755136249999991,0.75475,FALSE
meancoldale,Secondary - Primary vegetation,-5.550000000000832e-4,-0.028687472499999964,0.02849125000000014,0.483625,FALSE
dichrodale,Cropland - Primary vegetation,0.022249821500000003,-0.026614128049999995,0.07326582042499998,0.820375,FALSE
dichrodale,Pasture - Primary vegetation,0.0161497185,-0.025516272625,0.05674405239999998,0.77875,FALSE
dichrodale,Plantation_forest - Primary vegetation,-0.011655610000000004,-0.04941399252499999,0.02559933434999996,0.27225,FALSE
dichrodale,Secondary - Primary vegetation,-0.011544753499999998,-0.0421912604,0.019339845899999982,0.229625,FALSE
malecoldale,Cropland - Primary vegetation,-0.04054319999999989,-0.09360970750000001,0.011456242499999865,0.0635,FALSE
malecoldale,Pasture - Primary vegetation,0.028499350000000145,-0.013596685000000205,0.0715879274999997,0.90775,FALSE
malecoldale,Plantation_forest - Primary vegetation,0.006910350000000065,-0.030094649999999664,0.045471162500000356,0.63875,FALSE
malecoldale,Secondary - Primary vegetation,-0.0059173999999997395,-0.037528317500000165,0.024564154999999695,0.359,FALSE
dichrodiffdale,Cropland - Primary vegetation,1.2171401200000003,-1.322667515,3.805790189999999,0.818625,FALSE
dichrodiffdale,Pasture - Primary vegetation,0.8341397449999999,-1.2281257525,2.8832344624999995,0.78525,FALSE
dichrodiffdale,Plantation_forest - Primary vegetation,-0.5872929465000001,-2.4818834474999996,1.3136542627499996,0.27125,FALSE
dichrodiffdale,Secondary - Primary vegetation,-0.5626498499999997,-2.1075699325,0.9634476274999998,0.239625,FALSE
