"jetz_sp","tree_tip","used"
"Taeniopygia_bichenovii","Taenopygia_bichenovii",TRUE
"Macronous_ptilosus","Macronus_ptilosus",TRUE
"Macronous_gularis","Mixornis_gularis",TRUE
"Pygochelidon_cyanoleuca","Notiochelidon_cyanoleuca",TRUE
"Hodgsonius_phaenicuroides","Luscinia_phaenicuroides",TRUE
"Conostoma_oemodium","Paradoxornis_aemodium",TRUE
"Hyloctistes_subulatus","Automolus_subulatus",TRUE
"Dioptrornis_fischeri","Melaenornis_fischeri",TRUE
"Trichastoma_bicolor","Pellorneum_bicolor",TRUE
"Trichastoma_celebense","Pellorneum_celebense",TRUE
"Trichastoma_rostratum","Pellorneum_rostratum",TRUE
"Speirops_lugubris","Zosterops_lugubris",TRUE
"Babax_lanceolatus","Pterorhinus_lanceolatus",TRUE
"Rhinomyias_umbratilis","Cyornis_umbratilis",TRUE
"Rhopocichla_atriceps","Dumetia_atriceps",TRUE
